content,score,time,user_level,thumb_up,product_color,product_size
"以旧换新：活动力度很大，直接优惠500块，赶快下手
外形外观：外观很有特点，一眼就能认出来
屏幕音效：效果很好，和外国那个高端手机差别很小了
拍照效果：还原度很高
运行速度：快
待机时间：长",5,2025-03-10 21:58:23,,631,雪域白,12GB+512GB
第三次购买华为手机了 打游戏非常顺畅不卡顿 通话非常清晰 没有杂音的 系统运行流畅   外观漂亮，手感舒适 扬声器音效很好 。拍照非常清晰 非常满意  值得购买,5,2025-03-12 15:50:32,,374,羽砂黑,12GB+512GB
"外形外观：外形外观真的很时尚大气，简约风格，配上淡淡的蓝色确实好看。
屏幕音效：屏幕清晰，音效也很棒。
拍照效果：拍照效果很满意，能够满足本人需求。
运行速度：运行速度方面用了两个月左右了吧，没出现过卡顿现象，玩游戏有时候会发热，但不会很烫手。
待机时间：白天一天的工作加娱乐足够了。",5,2025-04-27 16:53:00,,38,冰晶蓝,12GB+512GB
老婆的生日礼物，她不太喜欢曲屏。在mate70和pura70间纠结了一下，最后还是选择了pura70卫星版，玫红色很亮眼，12+512的配置目前足够用，拍照效果中规中矩，鸿蒙系统运行确实流畅，毕竟是新机，老婆很喜欢,5,2025-05-11 10:09:35,,0,樱玫红,12GB+512GB
"颜值高：这款手机方方正正的，直屏用起来特别舒服。裸机手感很棒，手机壳也很好买。
网速快信号好：网速非常快，信号也很稳定。据说没有显示5G标志就意味着是5G网络，真是惊喜。
华为小功能强大：截屏、录音、识别图片等功能一如既往的好用，简直是科技控的福音。",5,2025-04-15 11:24:41,,38,羽砂黑,12GB+1TB
华为Pura 70系列以惊艳设计与硬核实力，机身延续星芒纹设计，轻薄四曲面屏搭配灵动色彩，高级质感与舒适握持并存。超感知影像系统全面升级，主摄物理可变光圈搭配XD Motion运动引擎，随手拍出光影大片，XMAGE影像风格更添艺术表现力。鸿蒙OS 4.2系统丝滑流畅，AI隔空操控、智感支付等黑科技提升交互体验。66W快充+高密度电池解决续航焦虑，。从影像旗舰到全能旗舰，Pura 70系列以创新诠释高端美学，不愧是最值得入手的国产旗舰机型！,5,2025-04-20 07:03:12,,14,羽砂黑,12GB+512GB
24年的拍照神机，赶在新产品上市前入手，便宜了不少，加上国补很优惠。之前用的荣耀V30pro，荣耀和华为正式分家前的神机，用了五年了，128G存储不够用了，换新机支持华为。白色机身银色边框很漂亮。12G+512存储日常够用了，很喜欢不错,5,2025-05-05 14:03:21,,6,雪域白,12GB+512GB
选了几款觉得还是这款适合，最低版本，拿在手里不算大，购买前看了其他家的小屏感觉不靠谱，不打游戏就是工作用，刷刷小视频，新闻，升级鸿蒙5很好用，,5,2025-05-03 19:45:25,,8,羽砂黑,12GB+512GB
"第一次用华为手机,有情怀,也有期待已久的喜欢。手机拿到手,外观很漂亮,屏幕大小拿着也舒适,曲面屏幕设计的看着很流畅,第一眼很喜欢,也算没辜负对它的期待。打开手机,使用起来感觉很流畅,一些细节可能需要完善,也可能是之前的使用习惯还不太适应,之前一些有的方便操作的却没有,当然这些不算是大问题。但我觉得一部好的手机就是给用户带来方便,越来越贴合用户的需求。最让我眼前一亮的是它的拍照功能,随手一拍都是美照,像素挺高,搭配算法,拍出来的图片光影、色调都很细腻,我觉得拍照功能也是这部手机的亮点。最后说下续航,也是我比较看重的,",5,2025-04-17 19:01:33,,14,雪域白,12GB+512GB
外观简约大气，直角中框搭配磨砂玻璃后盖，科技感和时尚感直接拉满。白色款纯净又高级，触感细腻，背面独特的三角形相机岛设计辨识度超高，每次拿出手机都超吸睛。续航也很让人省心，4900mAh大容量电池，中度使用一天电量还有剩余。电量不足时，66W有线快充和50W无线快充能快速&ldquo;回血&rdquo;，着急出门也不担心电量问题。,5,2025-05-08 14:08:27,,3,雪域白,12GB+512GB
"以旧换新：这个优惠没用
屏幕音效：屏幕音效非常赞
外形外观：好看了，绝绝子
拍照效果：就如宣传的一样，拍照效果杠杠滴。夜景拍摄也是非常牛
运行速度：暂时没有出现卡的情况，一切都在适应中充电速度相当快，电池的容量也可以，
待机时间：如果不要任何游戏或看视频的话，两天的待机时间是没有任何问题的。",5,2025-04-20 12:25:54,,10,雪域白,12GB+512GB
华为Pura 70是一款极具吸引力的产品。在使用过程中，我发现它的外观设计简洁大方，色彩搭配和谐，给人一种高端的感觉。性能方面，Pura 70表现出色，运行流畅，无论是日常使用还是处理复杂任务都能轻松应对。同时，它的电池续航能力也令人满意，长时间使用无需频繁充电。此外，它的性价比相当高，对于同等价位的其他产品来说，Pura 70提供了更高的性能和更好的用户体验。总的来说，华为Pura 70是一款值得推荐的产品，无论是外观设计、性能表现还是使用体验都给人留下了深刻的印象。,5,2025-05-07 21:05:29,,2,羽砂黑,12GB+512GB
"华为P70，我的使用感受
才到手用了一天，我对手机的要求不高，因为不打游戏平时就刷刷剧拍拍照，所以就内存大一点然后拍照好看一点（尤其是前置）就行了，但因为电脑耳机都是华为的想着手机也买个华为的算了，加上p70标准款真的好好看！简直戳到了我的心巴上就直接入手了，",5,2025-05-03 19:26:42,,4,雪域白,12GB+512GB
这个机子照相特别清晰好看，运行速度杠杠的，就是摄像头凸起来放车上手机支架买不到合适的，有点瑕疵，其他都挺满意的，国家补贴价格也挺满意的，外形好看，声音特别大声清晰，像素也很高，各方面都不错，推荐,5,2025-04-16 22:05:55,,1,羽砂黑,12GB+512GB
"很不错，这次享受了国家补贴，还有五一京东补贴，优惠了一千元（国补500+京东满减券），手机很不错，喜欢。
屏幕音效：音质好
外形外观：简洁时尚",5,2025-05-02 12:51:40,,2,羽砂黑,12GB+512GB
"华为的东西做的好，设计与品质均在线，从mate8一直用到现在的mate60pro，一直喜欢。这个是给家里老人买的，在网上看了好久，决定还是买这款，真的不错，装上试用了感觉很好，用料扎实，外形设计美观，功能也比较全面实用,老人很容易上手，还有500国补，总体上性价比很不错。希望国货越来越好越强大！希望京东和商家诚信经营，把好产品质量关，做好售后服务，让消费者方便安心的网购！让大家感受到好的产品和优质的服务！",5,2025-04-25 09:01:01,,2,羽砂黑,12GB+512GB
华为P70真的太让我惊喜了！外观精致，线条流畅，手感舒适。性能上，麒麟处理器加持，日常操作丝滑，游戏也不卡顿。5000万像素镜头拍照超清晰，夜景也出彩。续航和快充也给力，强烈推荐！,5,2025-05-01 01:28:23,,1,雪域白,12GB+512GB
充电发热是痛点其他无毛病,3,2025-05-10 21:34:31,,0,雪域白,12GB+512GB
发货速度很快，包装完好！手机外观设计漂亮，双曲面颜值爆表！随机贴了手机膜，还送了非常贴合的手机壳，真贴心！手机屏幕色彩艳丽，拍照效果杠杠，手机操作起来很流畅，是我想要的效果，不错,5,2025-04-21 01:40:25,,0,羽砂黑,12GB+512GB
华为Pura70凭借均衡性能与高性价比获得广泛认可。设计方面，6.6英寸OLED直屏搭配120Hz自适应刷新率及第二代昆仑玻璃，显示细腻且耐磨抗摔&nbsp;。影像性能突出，5000万像素超聚光主摄支持暗光拍摄，用户实测演唱会场景下视频清晰度高，长焦与超广角镜头拓展创作空间&nbsp;。硬件配置上，处理器运行流畅，游戏和多任务处理无卡顿，5000mAh电池搭配60W快充满足全天续航需求&nbsp;。价格优势显著，国补后降至4000多元，相比首发优惠约1500元，成为中高端市场的竞争力机型&nbsp;。综合来看，在屏幕、影像与续航上的表现尤为亮眼，适合追求实用性与性价比的用户。,5,2025-04-22 07:38:04,,2,羽砂黑,12GB+512GB
一直对华为手机情有独钟，这款上手更是舒适精致又简约大气，颜色绝了！三种解锁设置方便，自由选择。系统丝滑流畅，充电快，拍照效果好，喜欢，特别满意，也会永远支持华为！,5,2025-04-19 19:03:47,,0,雪域白,12GB+512GB
中上午下单 当天傍晚到货 而且送货快而安全，晚上拿到手就可以用啦 有配充电线和膜还有手机壳 非常贴心 比之前买的苹果服务好好叫好呢，超级细心的华为店家，在手机店里倒数据的老板说我们这款性价比很高，我也享受到了国家补贴500元，老手机回收掉到时又可以节约一笔成本，对我们这辈手机不离手的人，换个智能款的新型手机真是每个人的看家娱乐利器，在喧嚣的环境里对自己好点，亲们选择这款性价比和幸福感贼拉高啊,5,2025-04-16 21:16:20,,1,羽砂黑,12GB+512GB
这么说吧，先买了第1部觉得用起来效果特别棒，又买了第2部，就是冲着直屏来的，手感用起来特别好，拍照效果更是不一般，随便拍拍都是大片，最主要是待机时间长，早晨起床充满电耍一天，再不用走到哪都拎个充电宝了。给华为pure70点个大大的赞。,5,2025-04-23 17:29:08,,0,羽砂黑,12GB+512GB
"质量卓越：商品质量非常好，与卖家描述一致，非常满
意，值得购买。
性价比高：性价比非常高，强烈推荐。
使用体验好：功能强大，操作简单，易上手，性价比极
高。
包装精美：商品包装精美，送礼自用两相宜，非常体
面。
价格合理：价格合理，性价比高，同等价格里这款商品
绝对是首选。
购物体验好：购物体验非常好，从下单到收货都很顺
利，非常满意
服务满意：卖家服务态度很好，发货速度快，物流给
力。",5,2025-05-05 18:04:36,,0,羽砂黑,12GB+512GB
这款手机外观时尚，蓝色特别漂亮，设计精美，使用流畅。虽然尺寸不大，便于单手操作，续航表现也尚可，拍照效果优秀，整体非常满意。,5,2025-05-07 22:19:59,,1,冰晶蓝,12GB+1TB
"外形外观：通体质感白，颜色很好看万能白
屏幕音效：屏幕很清晰，放音乐效果也不错
拍照效果：拍照也还行
运行速度：运行速度也超快，原先的苹果真的慢",5,2025-04-18 09:37:26,,1,雪域白,12GB+512GB
对比了好几款手机，最终选择这款，性价比真的绝了！配置均衡，性能完全能满足日常和娱乐需求，外观质感完全不像这个价位的产品。屏幕素质、拍照能力、续航表现都很出色，没有明显短板。系统优化也很到位，操作流畅不臃肿。花这么少的钱能买到这么全能的手机，闭眼冲就对了！,5,2025-04-28 17:04:51,,0,羽砂黑,12GB+512GB
之前p30用了4年半，除了没有内存存放娃的照片了，其他没有任何毛病，非常耐用。所以这次还是选择华为，先去实体店看了看，选中了这款，大小合适，适合女生用，然后看看京东上的活动，比店里便宜点，用了有一段时间了，体验很不错，是值得推荐的一款,5,2025-05-07 08:40:39,,0,羽砂黑,12GB+512GB
"用了几天才来评价的                                                                                                      有国补优惠很多，512的内存完全够用，
外形外观：外形大小刚好女孩子用正好                    
用起来很顺畅不卡顿，反应没有延时",5,2025-05-08 08:32:10,,0,雪域白,12GB+512GB
华为这款手机颜值绝了！纯净的白色超有质感，简约又高级。后置摄像头模组设计独特，辨识度拉满。性能也超强大，拍照清晰，运行流畅，用着太顺手啦，真的爱惨了！,5,2025-04-16 13:10:56,,1,雪域白,12GB+512GB
使用一个来月了，切换非常方便，几个流程无缝换机。使用非常流畅，拍照效果好。充电速度超快，20来分钟从50到100%。缺点：重量有点重，摄像头突出太多了。,5,2025-04-22 21:29:43,,2,羽砂黑,12GB+512GB
将之前老机器以旧换新，在在国家补贴的情况下拿下了这款新机华为P70 12+512卫星消息版，刚收到货产品非常不错，使用非常流畅，功能强大，外观新颖时尚，使用体验感非常不错，支持国货，支持华为,5,2025-04-25 11:58:54,,2,羽砂黑,12GB+512GB
非常好，非常大气，手感也非常好，颜值爆表，真的物超所值，非常喜欢。手机运行速度快，拍照好看，超喜欢的，一点也不卡顿，拍照效果清晰有质感,5,2025-05-11 20:00:01,,0,羽砂黑,12GB+512GB
第二次购买华为手机了，第一台是mate 30非常顺畅不卡顿 通话非常清晰 没有杂音的 鸿蒙系统运行流畅 外观漂亮，手感舒适 扬声器音效很好 。拍照非常清晰 非常满意 值得购买,5,2025-04-20 10:54:00,,0,雪域白,12GB+512GB
📱 华为P70，用了就知道没买错！系统流畅得飞起，拍照效果也是一绝。电量持久，出门再也不担心手机没电了。性价比超高，真的是物超所值啊！强烈推荐给所有小伙伴们都入手一个！[拇指向上],5,2025-05-01 22:55:06,,0,雪域白,12GB+512GB
爱了这个手机，手感巨好，方方正正的样式我也很喜欢，本来买来当副机，现在直接当主的用了，颜值很高白色很漂亮，系统流畅分辨率也高，拍照清晰，这个价格很香了,5,2025-04-15 23:08:39,,2,雪域白,12GB+512GB
"外形外观：好看大气
屏幕音效：音质很好
拍照效果：清晰📸(^_^)
运行速度：很快&bull;ᴗ&bull;💧
待机时间：续航时间很长，一整天都不用充电
其他特色：有国补更优惠",5,2025-05-07 15:46:45,,0,羽砂黑,12GB+1TB
第一次用华为手机，摸起来很有质感，还搭配一个无边框的手机壳防摔的，配上白色非常适合夏天很清新，屏幕刷新很流畅，逐渐的成为华为粉了,5,2025-04-17 14:46:01,,0,雪域白,12GB+512GB
快递很快就到了，用的吗也还可以,3,2025-04-26 05:11:41,,0,雪域白,12GB+512GB
这个颜色很好看，实物比图片的要好看很多，摸着手感很好，支持国货，而且这个手机比预想的好更多，使用感非常的丝滑,5,2025-04-18 12:39:51,,0,冰晶蓝,12GB+512GB
华为Pura70系列，性能卓越，拍照出众。白色机身，简约大气，握感舒适。特别喜欢这款机型的摄像头设计，高清效果令人惊艳。📸✨,5,2025-04-27 19:17:05,,0,雪域白,12GB+512GB
"外形外观：外观设计非常精美绝伦！看起来也很舒服
拍照效果：拍照非常清晰明了
运行速度：运行速度很快！不会卡！
华为手机还是值得购买",5,2025-04-30 10:22:56,,0,冰晶蓝,12GB+1TB
手机号发货很快，隔天就收到了，参加国补优惠了500，收到货打开颜值很高，大小也刚好，系统运行流畅，鸿蒙系统，指纹解锁，人脸识别都很好用。,5,2025-04-25 19:04:44,,0,冰晶蓝,12GB+512GB
华为P70真的太香了！外观精致，丹霞橙配色高级感拉满。影像实力超强，超聚光XMAGE影像，无论是夜景还是人像，随手一拍都是大片。续航也给力，搭配快充，完全不用担心电量焦虑。鸿蒙系统流畅不卡顿，使用体验满分，入手不后悔！,5,2025-05-05 18:34:22,,1,冰晶蓝,12GB+512GB
京东快递值得信赖！中午外出食饭时收到电话通知收手机，因在外只能改为下午收货，虽然因堵车晚了一点。验收很认真，上京东自营店购买东西真的安心放心！一次愉快的购买体验！这款手机刚刚上市很多人购买，我昨晚在京东下单今天就可以收货，不错。等我使用后再评价手机。,5,2025-04-30 20:02:57,,0,雪域白,12GB+512GB
华为Pura70黑色简直颜值天花板！雅黑机身高级感拉满，磨砂质感握持舒适。骁龙8Gen3性能强劲，日常办公、游戏都流畅。超聚光XMAGE影像太绝，夜景人像随手拍都清晰有质感，续航也够顶，一天一充无压力。从外观到体验都挑不出毛病，安卓旗舰果然稳！,5,2025-05-12 22:57:35,,0,羽砂黑,12GB+512GB
补贴香，换手机导入资料很快捷，有几个售后问题，很耐心解决很不错，机身很轻，很薄，黑色酷炫，拍照可以！,5,2025-05-04 15:05:20,,0,羽砂黑,12GB+512GB
这款华为手机真的太赞了！📱✨ 白色外观时尚大气，性能稳定，拍照效果也非常出色。送礼自用都非常合适，强烈推荐给大家！💖,5,2025-05-07 11:41:23,,0,雪域白,12GB+512GB
手机📱很不错很喜欢颜值很高很不错给力。之前用的mate系列这次从mate系列换过来的感觉还是挺不错的！！！,5,2025-05-10 10:22:55,,0,雪域白,12GB+512GB
华为 P70 手感绝绝子！机身质感高级，操作丝滑流畅，信号超强，拍照模式多到挑花眼，国补后性价比超高！,5,2025-04-19 22:31:52,,0,羽砂黑,12GB+512GB
